0,5,5,-10
2,9,7,-10
6.2839196455,8,11,-10
9.0091870415,10,6,-10
11.6172746224,8,3,-10
16.5914660245,11,2,-10
20.3145542869,16,6,-9
23.50346298,18,9,-11
28.0309823647,21,10,-10
30.3163979058,25,13,-9
35.1286281552,26,16,-12
38.9689947544,31,21,-15
46.8807402942,38,34,-20
54.1437940272,45,46,-25
60.9667593474,51,53,-27
69.0848183939,59,62,-32
78.714504783,72,69,-35
94.034833774,90,78,-37
110.4269201485,112,86,-42
126.5421249783,135,98,-44
143.5984043889,152,110,-47
159.6496051131,170,123,-10
175.7229020633,189,132,-10
195.3992197001,210,141,-10
214.3924593683,230,149,-10
232.8701433502,236,157,-10
249.4116538158,248,170,-10
251.8814973384,249,169,-10
255.1613261097,254,166,-9
258.885652604,253,161,-10
262.0193803732,251,165,-8
266.4294143713,256,162,-10
269.8314594177,260,162,-10
273.5995719573,255,162,-10
278.068389318,256,157,-10
281.1892733586,260,160,-10
285.8018153401,261,156,-10
289.1048881381,266,158,-10
291.508152911,267,161,-10
319.1019750447,282,166,-9
344.734457619,307,163,-8
372.631044674,326,160,-10
399.0756884669,345,165,-10
424.7024147084,361,165,-10
452.2543063562,386,168,-9
478.4556913697,406,171,-8
599.4776360211,428,275,-10
721.0643136632,444,377,-10
842.6190980317,463,473,-10
963.7723449636,485,577,-9
1084.7755904195,506,680,-8
1206.182629077,524,781,-10
1328.5012662329,549,882,-10
1449.3600047201,569,985,-10
1569.8639344701,587,1086,-9
1691.0983323224,607,1184,-8
1812.5004430236,623,1289,-10
1935.4210677494,643,1394,-10
2057.8954528382,658,1497,-10
2178.3962937619,677,1602,-9
2300.4003658954,697,1706,-8
2420.7235570585,719,1802,-10
2541.8999799744,741,1906,-10
2663.1435936699,765,2002,-10
2785.8848929508,780,2102,-9
2907.5394437746,795,2203,-8
3029.1555504918,812,2302,-10
3149.619413245,829,2398,-10
3269.8095122071,854,2500,-10
3392.8080369174,879,2597,-9
3515.1511833798,897,2696,-8
3636.6612971888,917,2796,-10
3757.3088585408,936,2891,-10
3878.7005363298,955,2990,-10
4001.3603234163,978,3094,-9
4121.9581072319,997,3192,-8
4243.3128680047,1019,3288,-10
4363.6150101617,1038,3387,-10
4485.7121428053,1063,3485,-10
4608.0237677596,1084,3590,-9
4730.9952889381,1107,3691,-8
4853.190022374,1128,3796,-10
4974.1116956854,1153,3900,-10
5095.4628926371,1169,4004,-10
5216.7302859484,1190,4099,-9
5337.9312563783,1206,4203,-8
5460.5327620965,1226,4305,-10
5582.7864008895,1245,4409,-10
5705.4937902151,1268,4512,-10
5827.0632055162,1286,4612,-9
