0,5,5,-10
2,2,5,-10
6.2162999548,-2,7,-10
11.03457946,-5,12,-10
14.5544667232,-6,14,-10
18.6171575715,-3,14,-10
23.1329721543,2,18,-10
25.8488117359,4,21,-10
28.7805697962,9,24,-9
33.4293835508,14,25,-9
36.2685966243,16,27,-10
39.1515078992,18,28,-13
47.7983441753,31,36,-18
54.8249664782,42,49,-22
62.4045589771,52,61,-27
70.2494179588,64,73,-28
79.7178911595,70,85,-30
92.0737922667,86,94,-33
104.6587579371,103,104,-34
119.2547893561,123,111,-35
134.0786319403,146,118,-36
148.8986480143,166,131,-10
176.604495001,185,141,-10
183.9774196344,201,154,-10
190.0602782471,218,166,-10
207.1119620893,225,177,-10
211.7245356916,238,183,-10
222.9748156096,238,181,-10
224.6783510223,233,186,-10
227.4018650034,232,182,-12
230.2752268636,237,179,-9
240.6739953258,241,184,-10
251.4137946761,236,187,-10
255.3611693624,239,185,-10
265.4661015633,242,190,-10
270.3687624135,242,195,-10
276.1652168785,239,191,-10
280.8870420184,243,189,-10
285.3055545737,240,192,-10
290,270,250,-20
360,300,300,-25
450,350,350,-40
500,400,400,-50
600,500,500,-70
700,501,501,-70
500,312,322,-41
